id,link,name,surname,team_id
989,rider/Daniele_Colli,DANIELE,COLLI,26
1192,rider/Gabriel_Rasch,GABRIEL,RASCH,2
703,rider/Dries_Van_Gestel,DRIES,VAN GESTEL,33
772,rider/Alexander_Foliforov,ALEXANDER,FOLIFOROV,23
323,rider/Preben_Van_Hecke,PREBEN,VAN HECKE,33
724,rider/Rafael_Reis,RAFAEL,REIS,43
715,rider/Luis_Angel_Mate,LUIS ÁNGEL,MATé,32
1182,rider/Tom_Peterson,TOM,PETERSON,82
135,rider/Aaron_Gate,AARON,GATE,22
3,rider/Sam_Bennett,SAM,BENNETT,3
938,rider/Gianni_Meersman,GIANNI,MEERSMAN,52
1088,rider/Gerald_Ciolek,GERALD,CIOLEK,75
654,rider/Mateusz_Taciak,MATEUSZ,TACIAK,40
1145,rider/David_Boucher,DAVID,BOUCHER,12
861,rider/Jerome_Coppel,JéROME,COPPEL,51
40,rider/Arnaud_Courteille,ARNAUD,COURTEILLE,12
45,rider/Sven_Erik_Bystrm,SVEN ERIK,BYSTRøM,7
641,rider/Silvio_Herklotz,SILVIO,HERKLOTZ,3
740,rider/Giulio_Ciccone,GIULIO,CICCONE,25
392,rider/Salvatore_Puccio,SALVATORE,PUCCIO,2
987,rider/Robin_Stenuit,ROBIN,STENUIT,29
335,rider/Bert_De_Backer,BERT,DE BACKER,6
1055,rider/Alessio_Taliani,ALESSIO,TALIANI,57
635,rider/Johan_Le_Bon,JOHAN,LE BON,12
792,rider/Robert_Kiserlovski,ROBERT,KIÅ¡ERLOVSKI,7
516,rider/Michele_Scarponi,MICHELE,SCARPONI,16
871,rider/Pierrick_Fedrigo,PIERRICK,FEDRIGO,55
367,rider/Florian_Vachon,FLORIAN,VACHON,31
600,rider/Hernando_Bohorquez,HERNANDO,BOHóRQUEZ,42
157,rider/Conor_Dunne,CONOR,DUNNE,22
717,rider/Jaime_Roson,JAIME,ROSON,43
1120,rider/Matthieu_Boulo,MATTHIEU,BOULO,72
380,rider/Pierre_Luc_Perichon,PIERRE-LUC,PERICHON,31
469,rider/Youcef_Reguigui,YOUCEF,REGUIGUI,11
382,rider/Tim_Wellens,TIM,WELLENS,10
1154,rider/Matthew_Busche,MATTHEW,BUSCHE,69
1223,rider/Christophe_Le_Mevel,CHRISTOPHE,LE MÃ©VEL,38
358,rider/Ivan_Garcia_Cortina,IVAN,GARCIA CORTINA,5
894,rider/Jean_christophe_Peraud,JEAN-CHRISTOPHE,PERAUD,19
1017,rider/Fabrice_Jeandesboz,FABRICE,JEANDESBOZ,28
417,rider/Markel_Irizar,MARKEL,IRIZAR,8
1261,rider/Matteo_Rabottini,MATTEO,RABOTTINI,90
222,rider/Patrick_Konrad,PATRICK,KONRAD,3
1190,rider/Egoitz_Garcia,EGOITZ,GARCíA,32
156,rider/Martijn_Tusveld,MARTIJN,TUSVELD,24
1101,rider/Giovanni_Bernaudeau,GIOVANNI,BERNAUDEAU,73
1164,rider/Pawel_Bernas,PAWEL,BERNAS,66
254,rider/Stefano_Pirazzi,STEFANO,PIRAZZI,25
1220,rider/Kenny_Van_Hummel,KENNY,VAN HUMMEL,91
967,rider/Amaury_Capiot,AMAURY,CAPIOT,61
1167,rider/Martin_Mortensen,MARTIN,MORTENSEN,79
155,rider/Sergey_nikolaev,SERGEY,NIKOLAEV,23
927,rider/Julian_David_Arredondo,JULIÃ¡N DAVID,ARREDONDO,8
555,rider/Toms_Skujins,TOMS,SKUJIÅ†Å¡,15
669,rider/Edward_Planckaert,EDWARD,PLANCKAERT,33
538,rider/Max_Walscheid,MAX,WALSCHEID,6
296,rider/Timo_Roosen,TIMO,ROOSEN,14
169,rider/Nicola_Ruffoni,NICOLA,RUFFONI,25
865,rider/Matteo_Tosatto,MATTEO,TOSATTO,49
309,rider/Jean_pierre_Drucker,JEAN-PIERRE,DRUCKER,9
