id,length,stage_name,type
67,183.0,SAINTLôCHERBOURG_2016,hills_uphill
68,188.0,MONTSAINTMICHELUTAHBEACHSAINTEMARIEDUMONT_2016,hills_flat
69,151.0,LEPONTSUPERDéVOLUY_2016,hills_uphill
70,141.0,LAROCHETTEMéRIBEL_2016,mountains_uphill
71,140.0,LARAVOIREVAUJANY_2016,mountains_uphill
72,176.0,TAINLHERMITAGEBELLEY_2016,hills_uphill
73,187.5,BOëNSURLIGNONTOURNON_2016,hills_flat
74,168.0,CRêCHESSURSAôNECHALMAZALJEANSAGNIèRE_2016,hills_uphill
75,186.0,CLUSESSAINTVULBAS_2016,hills_flat
76,4.0,LESGETSLESGETS_2016,mountains_uphill
119,16.5,EIBAREIBAR_2016,hills_flat
120,159.0,ORIOARRATEEIBAR_2016,mountains_uphill
121,165.0,LESAKAORIO_2016,hills_flat
122,193.5,VITORIAGASTEIZLESAKA_2016,hills_flat
123,174.2,MARKINAXEMEINAMURRIOBARANBIO_2016,mountains_uphill
124,144.0,ETXEBARRIAMARKINAXEMEIN_2016,hills_flat
125,141.0,NICENICE_2016,mountains_flat
126,177.0,NICELAMADONEDUTELLE_2016,mountains_uphill
127,198.0,SAINTPAULTROISCHÃTEAUXSALONDEPROVENCE_2016,mountains_flat
128,193.5,JULIéNASROMANSSURISèRE_2016,hills_flat
129,214.0,CONTRESCOMMENTRY_2016,flat
130,195.0,CONDéSURVESGREVENDôME_2016,flat
131,6.1,CONFLANSSAINTEHONORINECONFLANSSAINTEHONORINE_2016,flat
132,90.0,ADELAIDEADELAIDE_2016,hills_flat
133,151.5,MCLARENVALEWILLUNGAHILL_2016,hills_uphill
134,138.0,NORWOODVICTORHARBOR_2016,hills_uphill
135,139.0,GLENELGCAMPBELLTOWN_2016,hills_uphill
136,132.0,UNLEYSTIRLING_2016,hills_uphill
137,130.8,PROSPECTLYNDOCH_2016,hills_flat
138,29.3,MONZAMILANO_2017,flat
139,190.0,PORDENONEASIAGO_2017,mountains_flat
140,191.0,SANCANDIDOINNICHENPIANCAVALLO_2017,mountains_uphill
141,137.0,MOENAORTISEISTURLICH_2017,mountains_uphill
142,219.0,TIRANOCANAZEI_2017,mountains_flat
143,222.0,ROVETTABORMIO_2017,mountains_flat
144,199.0,VALDENGOBERGAMO_2017,hills_flat
145,131.0,CASTELLANIAOROPA_2017,mountains_uphill
146,167.0,REGGIOEMILIATORTONA_2017,flat
147,229.0,FORLìREGGIOEMILIA_2017,hills_flat
148,161.0,FIRENZEBAGNODIROMAGNA_2017,mountains_flat
149,39.8,FOLIGNOMONTEFALCO_2017,hills_flat
150,152.0,MONTENERODIBISACCIABLOCKHAUS_2017,mountains_uphill
151,189.0,MOLFETTAPESCHICI_2017,hills_flat
152,224.0,CASTROVILLARIALBEROBELLO_2017,hills_flat
153,217.0,REGGIOCALABRIATERMELUIGIANE_2017,hills_flat
154,159.0,PEDARAMESSINA_2017,hills_flat
155,181.0,CEFALùETNA_2017,mountains_uphill
156,148.0,TORTOLICAGLIARI_2017,flat
157,221.0,OLBIATORTOLI_2017,hills_flat
158,206.0,ALGHEROOLBIA_2017,hills_flat
9,18.3,LAUSANNELAUSANNE_2017,hills_flat
10,163.5,DOMDIDIERLEYSIN_2017,mountains_uphill
11,187.0,PAYERNEPAYERNE_2017,hills_flat
12,136.0,AIGLEBULLE_2017,mountains_uphill
13,173.3,AIGLECHAMPéRY_2017,mountains_uphill
14,4.8,AIGLEAIGLE_2017,flat
99,27.7,EIBAREIBAR_2017,hills_flat
100,139.8,BILBOEIBAR_2017,mountains_uphill
101,174.1,DONOSTIABILBO_2017,mountains_flat
102,160.5,GASTEIZDONOSTIA_2017,mountains_flat
103,173.4,PAMPLONAELTZIEGO_2017,mountains_flat
